date,time,zipcode_id,alimentos,restaurantes,hoteles,ocio,health_goods,aerolineas,servicios,bienes,gasolina,total
20250524,10,7320,1799.0,897.45,,,1262.02,,1184.45,16738.32,,17922.77
20250612,6,6600,27466.05,5990.75,,,5861.08,,3153832.41,59092.91,,3212925.32
20250507,9,7000,6787.49,,,,1465.22,,25557.0,34975.53,11066.56,60532.53
20250524,7,2830,784.0,,,,6200.5,,,6984.5,,6984.5
20250516,7,11400,3391.54,,,,3816.73,,,8531.27,,8531.27
20250514,10,6010,13094.45,,,,263.0,,18052.0,57811.21,,75863.21
20250510,13,14070,1195.5,,,,,,1045.0,1195.5,,2240.5
20250603,7,9310,1516.5,1869.6,,,97.4,,,44315.9,,44315.9
20250514,5,9700,107.0,5024.3,,,,,649.0,5131.3,,6362.99
20250528,2,11000,7794.99,1709.0,,,3952.0,,38654.94,16734.57,,55389.51
20250515,14,14646,1834.0,,,,,,,1834.0,,1834.0
20250518,10,3300,38340.62,8542.96,,,14055.11,,17988.61,81876.36,21884.27,99864.97
20250611,23,6700,13250.46,2005.0,,,,,525856.86,63186.86,,589043.72
20250523,10,14646,1159.99,,,,,,,1159.99,,1159.99
20250602,15,11810,178.8,,,,12903.5,,,13082.3,,13082.3
20250612,13,4890,894.0,,,,29641.5,,5024.0,37534.0,,42558.0
20250528,12,1620,42730.1,,,,,,,48652.45,,48652.45
20250613,21,7130,6644.21,,,,,,,6644.21,,6644.21
20250604,22,9040,496.5,1886.13,8214.13,,,,10100.26,1370.5,,11470.76
20250510,7,3800,17497.02,481.0,,,13926.55,,143148.4,46811.72,,189960.12
20250528,19,3300,72103.26,6059.73,,,35136.0,,6059.73,141949.69,34389.43,148009.42
20250529,3,15400,4480.5,,,,,,,4480.5,,4480.5
20250516,19,11950,70559.81,,,,,,23750.97,73403.36,,97154.33
20250607,19,16001,3144.61,,,,,,,3144.61,,3144.61
20250516,9,3600,2222.8,1189.5,,,6636.63,,1189.5,8859.43,,10048.93
20250527,7,9800,10736.5,1452.82,,,779.0,,1542.0,42711.52,29743.2,46548.01
20250611,0,14440,,629.0,,,,,3029.0,1588.64,,4617.64
20250605,15,9640,3169.68,,,,,,,3169.68,,3169.68
20250529,19,1620,33986.15,,,,,,,37317.35,,37317.35
20250525,17,2320,691.0,,,,,,,691.0,,691.0
20250524,16,2320,614.0,,,,,,,614.0,,614.0
20250612,10,3300,20584.39,8287.01,,,8231.93,,23189.81,47149.12,11594.57,70338.93
20250521,0,6050,23343.42,130069.92,51995.0,,430366.23,,336810.78,2137191.12,,2474001.9
20250609,22,2320,696.0,,,,,,,696.0,,696.0
